                                                                              23 Dec 2020 13:44:59
Approved AGI Educational Alliance Partner
Satellite-Satellite2-To-AreaTarget-United_States_of_America:  Access Summary Report


Satellite2-To-United_States_of_America
--------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1    24 Dec 2020 00:06:10.782    24 Dec 2020 00:10:30.805           260.024
                       2    24 Dec 2020 01:37:14.023    24 Dec 2020 01:48:37.846           683.823
                       3    24 Dec 2020 03:10:44.785    24 Dec 2020 03:25:23.340           878.556
                       4    24 Dec 2020 04:43:38.767    24 Dec 2020 05:00:46.576          1027.810
                       5    24 Dec 2020 06:18:02.752    24 Dec 2020 06:36:03.631          1080.879
                       6    24 Dec 2020 07:53:14.305    24 Dec 2020 08:11:40.977          1106.672
                       7    24 Dec 2020 09:28:51.512    24 Dec 2020 09:45:53.625          1022.113
                       8    24 Dec 2020 11:05:41.020    24 Dec 2020 11:16:21.958           640.938
                       9    25 Dec 2020 00:14:30.905    25 Dec 2020 00:20:04.508           333.603
                      10    25 Dec 2020 01:45:49.522    25 Dec 2020 01:57:52.698           723.176
                      11    25 Dec 2020 03:19:17.160    25 Dec 2020 03:34:25.129           907.969
                      12    25 Dec 2020 04:52:27.852    25 Dec 2020 05:09:44.612          1036.760
                      13    25 Dec 2020 06:26:58.018    25 Dec 2020 06:45:06.132          1088.114
                      14    25 Dec 2020 08:02:12.683    25 Dec 2020 08:20:36.913          1104.230
                      15    25 Dec 2020 09:37:55.953    25 Dec 2020 09:54:27.009           991.056
                      16    25 Dec 2020 11:15:03.286    25 Dec 2020 11:24:13.957           550.671
                      17    26 Dec 2020 00:23:02.013    26 Dec 2020 00:29:29.922           387.909
                      18    26 Dec 2020 01:54:28.339    26 Dec 2020 02:07:04.080           755.741
                      19    26 Dec 2020 03:27:55.295    26 Dec 2020 03:43:25.434           930.139
                      20    26 Dec 2020 05:01:14.116    26 Dec 2020 05:18:42.064          1047.948
                      21    26 Dec 2020 06:35:54.139    26 Dec 2020 06:54:08.093          1093.954
                      22    26 Dec 2020 08:11:11.213    26 Dec 2020 08:29:31.182          1099.969
                      23    26 Dec 2020 09:47:01.745    26 Dec 2020 10:02:52.826           951.080
                      24    26 Dec 2020 11:24:36.393    26 Dec 2020 11:29:28.799           292.406
                      25    27 Dec 2020 00:31:39.576    27 Dec 2020 00:38:49.371           429.795
                      26    27 Dec 2020 02:03:10.164    27 Dec 2020 02:16:12.942           782.778
                      27    27 Dec 2020 03:36:26.342    27 Dec 2020 03:52:24.395           958.053
                      28    27 Dec 2020 05:10:01.991    27 Dec 2020 05:27:38.869          1056.879
                      29    27 Dec 2020 06:44:50.999    27 Dec 2020 07:03:09.381          1098.382
                      30    27 Dec 2020 08:20:10.356    27 Dec 2020 08:38:23.563          1093.207
                      31    27 Dec 2020 09:56:09.173    27 Dec 2020 10:11:04.087           894.914
                      32    27 Dec 2020 11:34:52.470    27 Dec 2020 11:37:14.007           141.537
                      33    28 Dec 2020 00:40:21.712    28 Dec 2020 00:48:04.515           462.803
                      34    28 Dec 2020 02:11:54.960    28 Dec 2020 02:25:26.096           811.136
                      35    28 Dec 2020 03:45:00.194    28 Dec 2020 04:01:22.121           981.927
                      36    28 Dec 2020 05:18:51.716    28 Dec 2020 05:36:34.950          1063.234
                      37    28 Dec 2020 06:53:47.414    28 Dec 2020 07:12:09.856          1102.442
                      38    28 Dec 2020 08:29:10.024    28 Dec 2020 08:47:13.771          1083.747
                      39    28 Dec 2020 10:05:17.633    28 Dec 2020 10:18:24.211           786.578
                      40    29 Dec 2020 00:48:23.066    29 Dec 2020 00:57:16.508           533.442
                      41    29 Dec 2020 02:20:42.700    29 Dec 2020 02:34:35.798           833.098
                      42    29 Dec 2020 03:53:39.329    29 Dec 2020 04:10:18.636           999.307
                      43    29 Dec 2020 05:27:42.927    29 Dec 2020 05:45:30.211          1067.284
                      44    29 Dec 2020 07:02:44.121    29 Dec 2020 07:21:09.598          1105.476
                      45    29 Dec 2020 08:38:10.570    29 Dec 2020 08:56:01.440          1070.870
                      46    29 Dec 2020 10:14:28.138    29 Dec 2020 10:27:03.862           755.724
                      47    30 Dec 2020 00:56:26.019    30 Dec 2020 01:06:32.462           606.443
                      48    30 Dec 2020 02:29:32.872    30 Dec 2020 02:43:42.414           849.542
                      49    30 Dec 2020 04:02:22.264    30 Dec 2020 04:19:13.949          1011.686
                      50    30 Dec 2020 05:36:35.554    30 Dec 2020 05:54:25.161          1069.606
                      51    30 Dec 2020 07:11:41.492    30 Dec 2020 07:30:08.751          1107.259
                      52    30 Dec 2020 08:47:12.080    30 Dec 2020 09:04:46.062          1053.982
